Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
3034 Oak Ave,2 Beds,2 Baths,"1,511 sqft",2020,Garage,Pool,"$975,000",Miami
3670 Avocado Ave,5 Beds,6 Baths,"4,075 sqft",2021,No Info,No,"$4,150,000",Miami
30 Bay Heights Dr,5 Beds,5 Baths,"5,114 sqft",2018,Garage,No,"$4,500,000",Miami
888 Biscayne Blvd #409,1 Bed,2 Baths,"1,220 sqft",2008,1 Car Garage,Pool,"$630,000",Miami
168 NE 46th St,3 Beds,3 Baths,"1,863 sqft",1934,2 Open Spaces,Yes,"$1,325,000",Miami
1408 Brickell Bay Dr #102,1 Bed,1 Bath,787 sqft,1964,Garage,Pool,"$275,000",Miami
185 SE 14th Ter #2006,2 Beds,2 Baths,930 sqft,1998,1 Car Garage,,"$370,000",Miami
2730 SW 17th Ave,3 Beds,2 Baths,"1,411 sqft",1949,1 Car Garage,No,"$1,250,000",Miami
999 Brickell Bay Dr #909,Studio,1 Bath,500 sqft,1968,1 Car Garage,Pool,"$190,000",Miami
3650 Stewart Ave,6 Beds,7 Baths,"7,426 sqft ",2018,6 Car Garage,No,"$7,995,000",Miami
3148 Carter St,3 Beds,4 Baths,,2022,2 Car Garage,Pool,"$1,500,000",Miami
1515 SW 11th St,4 Beds,3 Baths,"2,135 sqft",1957,Garage,No,"$930,000",Miami
300 SW 64th Ave,4 Beds,3 Baths,"1,445 sqft",1951,Open Parking,No,"$499,000",Miami
Address Not Disclosed,2 Beds,3 Baths,"1,839 sqft",1975,Garage,,"$1,550,000",Miami
Address Not Disclosed,3 Beds,3 Baths,"1,470 sqft",1993,2 Car Garage,,"$749,999",Miami
Address Not Disclosed,4 Beds,4 Baths,"8,632 sqft ",2019,Garage,No,"$16,500,000",Miami
2891 Coacoochee St,3 Beds,4 Baths,"3,527 sqft",1962,No Info,No,"$2,300,000",Miami
3581 E Glencoe St #502,3 Beds,4 Baths,"2,978 sqft",2020,2 Car Garage,Pool,"$5,500,000",Miami
50 Biscayne Blvd #4803,Studio,1 Bath,567 sqft,2007,1 Car Garage,Pool,"$250,000",Miami
428 SW 9th St #7,1 Bed,1 Bath,490 sqft,1925,None,,"$135,000",Miami
3567 Avocado Ave,6 Beds,7 Baths,,2021,2 Car Garage,No,"$6,195,000",Miami
2020 N Bayshore Dr #3301,2 Beds,3 Baths,"1,588 sqft",2010,1 Car Garage,Pool,"$1,299,000",Miami
601 SW 39th Ave,3 Beds,2 Baths,"2,364 sqft",1941,Open Parking,No,"$499,900",Miami
2101 Brickell Ave #3201,3 Beds,3 Baths,"1,762 sqft",2004,2 Car Garage,Pool,"$870,000",Miami
743 NW 14th Ct,3 Beds,2 Baths,"2,124 sqft",1930,Open Parking,No,"$615,000",Miami
